u,v,key,osmid,oneway,name,highway,reversed,length,lanes,geometry,service,access
3382291967,3382291966,0,331167331,False,,service,True,21.705,,"LINESTRING (105.8161273 21.0384721, 105.8160338 21.0382975)",alley,
3382291969,3382291966,0,331167332,False,,service,True,54.260999999999996,,"LINESTRING (105.8163306 21.0384417, 105.8162737 21.0382027, 105.8160338 21.0382975)",alley,
3382291970,445252449,0,37972511,False,Ngõ 127 Văn Cao,service,False,28.817,,"LINESTRING (105.8161262 21.037746, 105.816398 21.037693)",,
3382291970,3382291971,0,331167333,False,,residential,False,37.485,,"LINESTRING (105.8161262 21.037746, 105.8161924 21.0380774)",alley,
3382291970,3382291975,0,331167336,False,,residential,False,35.342,,"LINESTRING (105.8161262 21.037746, 105.8160501 21.0374362)",alley,
3382291970,3382291962,0,37972511,False,Ngõ 127 Văn Cao,service,True,31.849,,"LINESTRING (105.8161262 21.037746, 105.8158827 21.0377934, 105.8158259 21.0377818)",,
3382291971,3382291970,0,331167333,False,,residential,True,37.485,,"LINESTRING (105.8161924 21.0380774, 105.8161262 21.037746)",alley,
3382291972,445252449,0,331167334,False,,residential,True,34.997,,"LINESTRING (105.8164648 21.0380015, 105.816398 21.037693)",alley,
3382291973,11027079215,0,207312901,False,Ngõ 127 Văn Cao,service,False,14.383,,"LINESTRING (105.8164635 21.0376794, 105.8165988 21.0376514)",,
3382291973,445252449,0,207312901,False,Ngõ 127 Văn Cao,service,True,6.964,,"LINESTRING (105.8164635 21.0376794, 105.816398 21.037693)",,
3382291973,3382291974,0,331167335,False,,residential,False,32.969,,"LINESTRING (105.8164635 21.0376794, 105.8163916 21.0373906)",alley,
3382291974,3382291973,0,331167335,False,,residential,True,32.969,,"LINESTRING (105.8163916 21.0373906, 105.8164635 21.0376794)",alley,
3382291975,3382291970,0,331167336,False,,residential,True,35.342,,"LINESTRING (105.8160501 21.0374362, 105.8161262 21.037746)",alley,
3382291976,5716626127,0,703141278,False,Phố Đội Cấn,secondary,False,27.78,2,"LINESTRING (105.8159554 21.036605, 105.8161843 21.0364755)",,
3382291976,2195289151,0,703141278,False,Phố Đội Cấn,secondary,True,64.075,2,"LINESTRING (105.8159554 21.036605, 105.8154275 21.0369038)",,
3382291976,3382291977,0,331167337,False,,service,False,41.606,,"LINESTRING (105.8159554 21.036605, 105.8159931 21.0366625, 105.8161644 21.0369243)",,
3382291977,3382291976,0,331167337,False,,service,True,41.606,,"LINESTRING (105.8161644 21.0369243, 105.8159931 21.0366625, 105.8159554 21.036605)",,
4461962358,2657122059,0,260225725,False,Ngõ 267,residential,False,5.124,,"LINESTRING (105.8189276 21.0408348, 105.8189412 21.0407905)",,
4461962358,3341124491,0,260225725,False,Ngõ 267,residential,True,26.770000000000003,,"LINESTRING (105.8189276 21.0408348, 105.818924 21.0408523, 105.8189554 21.0410733)",,
4461962358,2657122102,0,711937267,False,,service,True,33.459,,"LINESTRING (105.8189276 21.0408348, 105.8188375 21.0408376, 105.8186951 21.0409073, 105.8186741 21.0409116, 105.8186253 21.0409216)",alley,
5689527850,8819688907,0,260225725,False,Ngõ 267,residential,False,7.324,,"LINESTRING (105.8188266 21.0396348, 105.8187847 21.0395818)",,
5689527850,2657122070,0,260225725,False,Ngõ 267,residential,True,20.628,,"LINESTRING (105.8188266 21.0396348, 105.8189404 21.0397869)",,
5689527850,9594057514,0,597589919,False,,service,True,54.027,,"LINESTRING (105.8188266 21.0396348, 105.8193466 21.0396119)",,
5697944071,2631904560,0,598667605,False,Ngõ 279 Phố Đội Cấn,residential,True,27.058,,"LINESTRING (105.8204044 21.0365941, 105.8203956 21.0363509)",,
5697944071,6610782574,0,598667608,False,Ngõ 279 Phố Đội Cấn,residential,True,28.588,,"LINESTRING (105.8204044 21.0365941, 105.8204247 21.0368505)",,
5697944071,2631904591,0,1124926548,False,,service,False,43.266000000000005,,"LINESTRING (105.8204044 21.0365941, 105.8203515 21.0366136, 105.8203404 21.0366184, 105.820221 21.0366785, 105.8202564 21.0368737)",alley,
