osmid,y,x,street_count,highway,geometry
2657122073,21.0399919,105.8182191,3,,POINT (105.8182191 21.0399919)
2657122075,21.0398023,105.8179875,1,,POINT (105.8179875 21.0398023)
2657122077,21.0402918,105.8181176,3,,POINT (105.8181176 21.0402918)
2657122080,21.0403563,105.8174915,1,,POINT (105.8174915 21.0403563)
2657122081,21.0403595,105.8177727,3,,POINT (105.8177727 21.0403595)
2657122085,21.0407897,105.8178358,3,,POINT (105.8178358 21.0407897)
2657122088,21.0410752,105.8179992,3,,POINT (105.8179992 21.0410752)
2657122089,21.0410621,105.8181697,3,,POINT (105.8181697 21.0410621)
2657122092,21.0409488,105.8184833,3,,POINT (105.8184833 21.0409488)
2657122099,21.0401828,105.8186195,1,,POINT (105.8186195 21.0401828)
2657122100,21.0402874,105.8187481,3,,POINT (105.8187481 21.0402874)
2657122101,21.0402492,105.8189496,1,,POINT (105.8189496 21.0402492)
2657122102,21.0409216,105.8186253,3,,POINT (105.8186253 21.0409216)
2657122103,21.0406309,105.8186003,1,,POINT (105.8186003 21.0406309)
2657122104,21.0410543,105.8182032,4,,POINT (105.8182032 21.0410543)
2657122105,21.0407526,105.8181603,1,,POINT (105.8181603 21.0407526)
2657122106,21.040709,105.8181136,1,,POINT (105.8181136 21.040709)
2657122107,21.0410115,105.8183234,3,,POINT (105.8183234 21.0410115)
2657122108,21.0406981,105.8182514,1,,POINT (105.8182514 21.0406981)
2657122668,21.0412692,105.8180575,1,,POINT (105.8180575 21.0412692)
2657122671,21.041304,105.8178545,1,,POINT (105.8178545 21.041304)
2657122672,21.0409695,105.8178555,3,,POINT (105.8178555 21.0409695)
2657122674,21.0407044,105.8178504,3,,POINT (105.8178504 21.0407044)
2657122675,21.0406717,105.8181022,1,,POINT (105.8181022 21.0406717)
2657122676,21.0406612,105.8178426,3,,POINT (105.8178426 21.0406612)
2657122677,21.0406153,105.8180343,1,,POINT (105.8180343 21.0406153)
2657122678,21.040523,105.8177959,3,,POINT (105.8177959 21.040523)
2657122679,21.0404998,105.8179245,1,,POINT (105.8179245 21.0404998)
2657123335,21.0407804,105.820094,3,,POINT (105.820094 21.0407804)
2657123339,21.0410387,105.8197216,1,,POINT (105.8197216 21.0410387)
2657123340,21.0408483,105.8199108,3,,POINT (105.8199108 21.0408483)
2657123341,21.0407358,105.8198933,1,,POINT (105.8198933 21.0407358)
2657123342,21.0410383,105.8201789,3,,POINT (105.8201789 21.0410383)
2657123347,21.0413316,105.8196251,1,,POINT (105.8196251 21.0413316)
2657123348,21.0411123,105.8199682,3,,POINT (105.8199682 21.0411123)
2657123349,21.0411413,105.8197619,1,,POINT (105.8197619 21.0411413)
2922908915,21.0373355,105.8174327,1,,POINT (105.8174327 21.0373355)
2922908919,21.0372324,105.8175239,3,,POINT (105.8175239 21.0372324)
2922908924,21.0377839,105.8176115,3,,POINT (105.8176115 21.0377839)
2922908925,21.037858,105.8175135,1,,POINT (105.8175135 21.037858)
2922908926,21.0377705,105.8174943,1,,POINT (105.8174943 21.0377705)
2922908934,21.0375531,105.8177184,3,,POINT (105.8177184 21.0375531)
2922908937,21.0377316,105.8179478,1,,POINT (105.8179478 21.0377316)
2922908938,21.0374918,105.8177283,3,,POINT (105.8177283 21.0374918)
2922908939,21.0375049,105.8176256,1,,POINT (105.8176256 21.0375049)
2922908940,21.0373559,105.8177412,3,,POINT (105.8177412 21.0373559)
2922908942,21.0374003,105.8179898,1,,POINT (105.8179898 21.0374003)
2922908943,21.0373698,105.8175625,1,,POINT (105.8175625 21.0373698)
2922908944,21.0376597,105.8172261,3,,POINT (105.8172261 21.0376597)
2922908945,21.0379082,105.8173288,3,,POINT (105.8173288 21.0379082)
2922908948,21.0385075,105.8173452,1,,POINT (105.8173452 21.0385075)
2922908949,21.0384247,105.8173358,3,,POINT (105.8173358 21.0384247)
2922908950,21.0383505,105.8175859,3,,POINT (105.8175859 21.0383505)
2922908951,21.0382415,105.8175532,1,,POINT (105.8175532 21.0382415)
2922908952,21.0384757,105.8176305,3,,POINT (105.8176305 21.0384757)
2922908953,21.0384464,105.8175999,3,,POINT (105.8175999 21.0384464)
2922908954,21.038405,105.8177703,1,,POINT (105.8177703 21.038405)
2922908955,21.0382735,105.8172986,3,,POINT (105.8172986 21.0382735)
2922908956,21.038296,105.8171609,1,,POINT (105.8171609 21.038296)
2922908958,21.0380594,105.8173999,3,,POINT (105.8173999 21.0380594)
2922908959,21.0381108,105.8171212,3,,POINT (105.8171212 21.0381108)
2922908962,21.0383222,105.8170652,1,,POINT (105.8170652 21.0383222)
2922908969,21.0381674,105.816778,1,,POINT (105.816778 21.0381674)
2922908970,21.0379477,105.8170862,3,,POINT (105.8170862 21.0379477)
2922908971,21.0377283,105.8172545,3,,POINT (105.8172545 21.0377283)
2922908973,21.0376182,105.8175181,1,,POINT (105.8175181 21.0376182)
2922908975,21.0378449,105.8168457,3,,POINT (105.8168457 21.0378449)
2922908976,21.037725,105.8167102,1,,POINT (105.8167102 21.037725)
2922908979,21.0380062,105.8167266,1,,POINT (105.8167266 21.0380062)
2922914428,21.0377468,105.819176,3,,POINT (105.819176 21.0377468)
2922914429,21.0380432,105.8188678,3,,POINT (105.8188678 21.0380432)
2922914430,21.0381456,105.818779,3,,POINT (105.818779 21.0381456)
2922914432,21.0384181,105.8188001,1,,POINT (105.8188001 21.0384181)
2922914437,21.0378885,105.8185385,1,,POINT (105.8185385 21.0378885)
2922914438,21.0379604,105.818674,1,,POINT (105.818674 21.0379604)
2922914440,21.0381151,105.81866,3,,POINT (105.81866 21.0381151)
2922914441,21.0382503,105.8185829,1,,POINT (105.8185829 21.0382503)
2922914445,21.0379473,105.8182724,3,,POINT (105.8182724 21.0379473)
2922914447,21.0380367,105.8178591,3,,POINT (105.8178591 21.0380367)
2922914449,21.038031,105.8184621,3,,POINT (105.8184621 21.038031)
2922914450,21.0381435,105.8184358,1,,POINT (105.8184358 21.0381435)
2922914455,21.0376902,105.8186086,1,,POINT (105.8186086 21.0376902)
2922914456,21.0377653,105.8184545,3,,POINT (105.8184545 21.0377653)
2922914457,21.0377577,105.818228,1,,POINT (105.818228 21.0377577)
2922914458,21.0379659,105.818183,3,,POINT (105.818183 21.0379659)
2922914464,21.0384319,105.8184379,3,,POINT (105.8184379 21.0384319)
2922914467,21.0384769,105.818521,1,,POINT (105.818521 21.0384769)
2922914468,21.0380034,105.8180066,3,,POINT (105.8180066 21.0380034)
2922914471,21.0383067,105.81777,1,,POINT (105.81777 21.0383067)
2922914472,21.0381966,105.8178827,1,,POINT (105.8178827 21.0381966)
3341124485,21.0417231,105.8189689,3,,POINT (105.8189689 21.0417231)
3341124491,21.0410733,105.8189554,3,,POINT (105.8189554 21.0410733)
3341124600,21.0420749,105.8181949,3,,POINT (105.8181949 21.0420749)
3341124604,21.0415924,105.8174064,1,,POINT (105.8174064 21.0415924)
3341124605,21.0416013,105.817886,3,,POINT (105.817886 21.0416013)
3341124608,21.0414558,105.8174939,1,,POINT (105.8174939 21.0414558)
3341124609,21.0417148,105.8183841,1,,POINT (105.8183841 21.0417148)
3341124610,21.0415282,105.818567,3,,POINT (105.818567 21.0415282)
3341124612,21.041469,105.8182264,1,,POINT (105.8182264 21.041469)
3341124615,21.0413651,105.8190074,3,,POINT (105.8190074 21.0413651)
3341124617,21.0413236,105.8194864,1,,POINT (105.8194864 21.0413236)
3341124618,21.04128,105.8189887,3,,POINT (105.8189887 21.04128)
3341124623,21.0411255,105.8196138,1,,POINT (105.8196138 21.0411255)
3341124625,21.041595,105.8175964,3,,POINT (105.8175964 21.041595)
3341124626,21.0414558,105.8175964,3,,POINT (105.8175964 21.0414558)
3341124627,21.0420839,105.8178725,3,,POINT (105.8178725 21.0420839)
3341124630,21.041829,105.8176955,1,,POINT (105.8176955 21.041829)
3382281572,21.0421081,105.8169269,3,,POINT (105.8169269 21.0421081)
3382281573,21.0418765,105.8169401,1,,POINT (105.8169401 21.0418765)
3382281577,21.0418075,105.8168785,1,,POINT (105.8168785 21.0418075)
3382281578,21.0420117,105.8167089,3,,POINT (105.8167089 21.0420117)
3382281584,21.0417069,105.8172143,1,,POINT (105.8172143 21.0417069)
3382281585,21.0416123,105.816464,3,,POINT (105.816464 21.0416123)
3382281865,21.0420948,105.8174339,3,,POINT (105.8174339 21.0420948)
3382281869,21.0417636,105.8174907,1,,POINT (105.8174907 21.0417636)
3382281870,21.0418532,105.8174779,3,,POINT (105.8174779 21.0418532)
3382281874,21.0420988,105.8172737,3,,POINT (105.8172737 21.0420988)
3382281875,21.0421034,105.8171679,3,,POINT (105.8171679 21.0421034)
3382281876,21.0418697,105.8171709,1,,POINT (105.8171709 21.0418697)
3382291896,21.0406954,105.8169674,3,,POINT (105.8169674 21.0406954)
3382291899,21.0401987,105.8160485,3,,POINT (105.8160485 21.0401987)
3382291903,21.0399743,105.8174285,3,,POINT (105.8174285 21.0399743)
3382291909,21.0401412,105.8176927,1,,POINT (105.8176927 21.0401412)
3382291921,21.0412414,105.8170673,3,,POINT (105.8170673 21.0412414)
3382291922,21.040778,105.8169851,3,,POINT (105.8169851 21.040778)
3382291924,21.0408318,105.8166723,3,,POINT (105.8166723 21.0408318)
3382291927,21.0413175,105.8168024,1,,POINT (105.8168024 21.0413175)
3382291931,21.0400651,105.8165529,3,,POINT (105.8165529 21.0400651)
3382291932,21.0410683,105.8167258,3,,POINT (105.8167258 21.0410683)
3382291934,21.0411954,105.8163454,3,,POINT (105.8163454 21.0411954)
3382291935,21.0399906,105.8168986,4,,POINT (105.8168986 21.0399906)
3382291941,21.0396926,105.8174271,1,,POINT (105.8174271 21.0396926)
3382291942,21.0385055,105.8165148,1,,POINT (105.8165148 21.0385055)
3382291945,21.0382283,105.8166275,1,,POINT (105.8166275 21.0382283)
3382291946,21.0395374,105.8168167,3,,POINT (105.8168167 21.0395374)
3382291948,21.0395257,105.8168905,3,,POINT (105.8168905 21.0395257)
3382291950,21.0392089,105.8162445,3,,POINT (105.8162445 21.0392089)
3382291951,21.0389932,105.8176849,3,,POINT (105.8176849 21.0389932)
3382291952,21.0392993,105.8157712,3,,POINT (105.8157712 21.0392993)
3382291962,21.0377818,105.8158259,3,,POINT (105.8158259 21.0377818)
3382291966,21.0382975,105.8160338,3,,POINT (105.8160338 21.0382975)
3382291967,21.0384721,105.8161273,1,,POINT (105.8161273 21.0384721)
3382291969,21.0384417,105.8163306,1,,POINT (105.8163306 21.0384417)
3382291970,21.037746,105.8161262,4,,POINT (105.8161262 21.037746)
3382291971,21.0380774,105.8161924,1,,POINT (105.8161924 21.0380774)
3382291972,21.0380015,105.8164648,1,,POINT (105.8164648 21.0380015)
3382291973,21.0376794,105.8164635,3,,POINT (105.8164635 21.0376794)
3382291974,21.0373906,105.8163916,1,,POINT (105.8163916 21.0373906)
